ID_LOG_MAT;MODO_INGRESO;ID_ASIGNACION;ID_MTO;DESC_BODEGA;DIAM_BODEGA;EVENTO;DOCUMENTO;CANT_MOVIMIENTO;FOTO_RESPALDO;UBIC_DESTINO;ID_BULK_ORIGEN;FECHA;USUARIO
c8142771;ASIGNADO A LÍNEA;M-00167;1.574;;;RECEPCIÓN;;0,28;;;;12/03/2026;Enzo Santambrogio
c8142772;ASIGNADO A LÍNEA;M-00168;1.575;;;RECEPCIÓN;;4,89;;;;12/03/2026;Enzo Santambrogio
c8142773;ASIGNADO A LÍNEA;M-00169;1.577;;;RECEPCIÓN;;4,24;;;;12/03/2026;Enzo Santambrogio
c8142774;ASIGNADO A LÍNEA;M-00170;1.579;;;RECEPCIÓN;;2,41;;;;12/03/2026;Enzo Santambrogio
c8142775;ASIGNADO A LÍNEA;M-00171;1.580;;;RECEPCIÓN;;0,15;;;;12/03/2026;Enzo Santambrogio
c8142776;ASIGNADO A LÍNEA;M-00172;1.581;;;RECEPCIÓN;;14,37;;;;12/03/2026;Enzo Santambrogio
c8142777;ASIGNADO A LÍNEA;M-00173;1.582;;;RECEPCIÓN;;0,36;;;;12/03/2026;Enzo Santambrogio
c8142778;ASIGNADO A LÍNEA;M-00174;1.583;;;RECEPCIÓN;;0,49;;;;12/03/2026;Enzo Santambrogio
c8142779;ASIGNADO A LÍNEA;M-00175;1.588;;;RECEPCIÓN;;1,64;;;;12/03/2026;Enzo Santambrogio
c8142780;ASIGNADO A LÍNEA;M-00176;1.592;;;RECEPCIÓN;;1,69;;;;12/03/2026;Enzo Santambrogio
c8142781;ASIGNADO A LÍNEA;M-00177;1.594;;;RECEPCIÓN;;2,92;;;;12/03/2026;Enzo Santambrogio
c8142782;ASIGNADO A LÍNEA;M-00178;1.595;;;RECEPCIÓN;;5,5;;;;12/03/2026;Enzo Santambrogio
c8142783;ASIGNADO A LÍNEA;M-00179;1.596;;;RECEPCIÓN;;5,5;;;;12/03/2026;Enzo Santambrogio
c8142784;ASIGNADO A LÍNEA;M-00180;1.597;;;RECEPCIÓN;;0,38;;;;12/03/2026;Enzo Santambrogio
c8142785;ASIGNADO A LÍNEA;M-00181;1.598;;;RECEPCIÓN;;0,26;;;;12/03/2026;Enzo Santambrogio
c8142786;ASIGNADO A LÍNEA;M-00182;1.599;;;RECEPCIÓN;;0,26;;;;12/03/2026;Enzo Santambrogio
c8142787;ASIGNADO A LÍNEA;M-00183;1.603;;;RECEPCIÓN;;2,8;;;;12/03/2026;Enzo Santambrogio
c8142788;ASIGNADO A LÍNEA;M-00184;1.604;;;RECEPCIÓN;;1,99;;;;12/03/2026;Enzo Santambrogio
c8142789;ASIGNADO A LÍNEA;M-00185;1.605;;;RECEPCIÓN;;11,48;;;;12/03/2026;Enzo Santambrogio
c8142790;ASIGNADO A LÍNEA;M-00186;1.606;;;RECEPCIÓN;;2,29;;;;12/03/2026;Enzo Santambrogio
c8142791;ASIGNADO A LÍNEA;M-00187;1.608;;;RECEPCIÓN;;4,29;;;;12/03/2026;Enzo Santambrogio
c8142792;ASIGNADO A LÍNEA;M-00188;1.609;;;RECEPCIÓN;;0,4;;;;12/03/2026;Enzo Santambrogio
c8142793;ASIGNADO A LÍNEA;M-00189;1.611;;;RECEPCIÓN;;2,29;;;;12/03/2026;Enzo Santambrogio
c8142794;ASIGNADO A LÍNEA;M-00190;1.612;;;RECEPCIÓN;;12,77;;;;12/03/2026;Enzo Santambrogio
c8142795;ASIGNADO A LÍNEA;M-00191;1.617;;;RECEPCIÓN;;7,13;;;;12/03/2026;Enzo Santambrogio
c8142796;ASIGNADO A LÍNEA;M-00192;1.618;;;RECEPCIÓN;;12,35;;;;12/03/2026;Enzo Santambrogio
c8142797;ASIGNADO A LÍNEA;M-00193;1.619;;;RECEPCIÓN;;5,63;;;;12/03/2026;Enzo Santambrogio
c8142798;ASIGNADO A LÍNEA;M-00194;1.620;;;RECEPCIÓN;;3,24;;;;12/03/2026;Enzo Santambrogio
c8142799;ASIGNADO A LÍNEA;M-00195;1.621;;;RECEPCIÓN;;1,29;;;;12/03/2026;Enzo Santambrogio
c8142800;ASIGNADO A LÍNEA;M-00196;1.622;;;RECEPCIÓN;;11,8;;;;12/03/2026;Enzo Santambrogio
c8142801;ASIGNADO A LÍNEA;M-00197;1.623;;;RECEPCIÓN;;10,9;;;;12/03/2026;Enzo Santambrogio
c8142802;ASIGNADO A LÍNEA;M-00198;1.624;;;RECEPCIÓN;;0,6;;;;12/03/2026;Enzo Santambrogio
c8142803;ASIGNADO A LÍNEA;M-00199;1.625;;;RECEPCIÓN;;1,44;;;;12/03/2026;Enzo Santambrogio
