ID_VALVULA;ID_MTO;ID_LINEA;CLASE;DESCRIPCION;TAG PIPING;Correlativo Maqueta;DIAGRAMA;TAG INSTRUMENTACION;DIAM.;CANTIDAD
VAL053;1.2561;"03351-PW-2""-C1-0044-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL054;1.2562;"03351-PW-2""-C1-0093-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL055;1.2563;"03351-PW-2""-C1-0054-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL056;1.2564;"03351-GW-2""-C1-0040-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";;;;;"2""";1
VAL057;1.2565;"03351-GW-2""-C1-0042-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";;;;;"2""";1
VAL058;1.2566;"03351-GW-2""-C1-0041-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";;;;;"2""";1
VAL059;1.2567;"03351-GW-2""-C1-0095-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL060;1.2568;"03351-PW-2""-C1-0049-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL061;1.2569;"03351-PW-2""-C1-0048-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL062;1.2570;"03351-PW-2""-C1-0082-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL063;1.2571;"03351-PW-2""-C1-0026-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL064;1.2572;"03351-PW-2""-C1-0081-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL065;1.2573;"03351-PW-2""-C1-0049-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL066;1.2574;"03351-PW-2""-C1-0052-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL067;1.2575;"03351-PW-2""-C1-0048-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL068;1.2576;"03351-PW-2""-C1-0092-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL069;1.2577;"03351-PW-2""-C1-0085-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL070;1.2578;"03351-PW-2""-C1-0083-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASMEB1.20.1 NPT, LO";;;;;"2""";1
VAL071;1.2579;"03351-PW-2""-C1-0053-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";;;;;"2""";1
VAL072;1.2580;"03351-PW-2""-C1-0084-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";;;;;"2""";1
VAL073;1.2581;"03351-PW-2""-C1-0024-N";C1;"VÁLVULA DE BOLA 3 CUERPOS, MSS SP-110 CL 2000 CWP; WOG,  FULL PORT, CUERPO ASTM A105, TRIM ASTM A216 TP316, ASIENTO PTFE REFORZADO, SELLOS PTFE, ASME B1.20.1 NPT, LO";;;;;"2""";1
VAL074;1.2582;03351-RW-250-H1-0011-N;H1;VÁLVULA DE CUCHILLO BIDIRECCIONAL NO PASANTE, CUERPO ACERO CARBONO A216 WCB, EMPAQUETADURA FIBRA SINTÉTICA IMPREGNADA PTFE, COMPUERTA ASTM A316, MSS SP-81, ASME B16.5 CL 150, WAFER, ACCIONAMIENTO MANUAL ENGRANAJE CÓNIC;;;;;"10""";1
VAL075;1.2583;03351-RW-250-H1-0009-N;H1;VÁLVULA DE CUCHILLO BIDIRECCIONAL NO PASANTE, CUERPO ACERO CARBONO A216 WCB, EMPAQUETADURA FIBRA SINTÉTICA IMPREGNADA PTFE, COMPUERTA ASTM A316, MSS SP-81, ASME B16.5 CL 150, WAFER, ACCIONAMIENTO MANUAL ENGRANAJE CÓNIC;;;;;"10""";1
VAL076;1.2584;03351-RW-250-H1-0010-N;H1;VÁLVULA DE CUCHILLO BIDIRECCIONAL NO PASANTE, CUERPO ACERO CARBONO A216 WCB, EMPAQUETADURA FIBRA SINTÉTICA IMPREGNADA PTFE, COMPUERTA ASTM A316, MSS SP-81, ASME B16.5 CL 150, WAFER, ACCIONAMIENTO MANUAL ENGRANAJE CÓNIC;"10""-VKN-303";10-VKN-303-039;;n/a;"10""";1
VAL077;1.2585;"03351-CT-6""-C3-0006-R3";C3;VÁLVULA DE CUCHILLO BIDIRECCIONAL NO PASANTE, CUERPO ACERO CARBONO A216 WCB, EMPAQUETADURA FIBRA SINTÉTICA IMPREGNADA PTFE, COMPUERTA ASTM A316, MSS SP-81, ASME B16.5 CL 150, WAFER, ACCIONAMIENTO MANUAL ENGRANAJE CÓNIC;;;;;"12""";1
VAL078;1.2586;"03351-CT-6""-C3-0007-R3";C3;VÁLVULA DE CUCHILLO BIDIRECCIONAL NO PASANTE, CUERPO ACERO CARBONO A216 WCB, EMPAQUETADURA FIBRA SINTÉTICA IMPREGNADA PTFE, COMPUERTA ASTM A316, MSS SP-81, ASME B16.5 CL 150, WAFER, ACCIONAMIENTO MANUAL ENGRANAJE CÓNIC;;;;;"12""";1
VAL079;1.2587;"03351-CT-6""-C3-0005-R3";C3;VÁLVULA DE CUCHILLO BIDIRECCIONAL NO PASANTE, CUERPO ACERO CARBONO A216 WCB, EMPAQUETADURA FIBRA SINTÉTICA IMPREGNADA PTFE, COMPUERTA ASTM A316, MSS SP-81, ASME B16.5 CL 150, WAFER, ACCIONAMIENTO MANUAL ENGRANAJE CÓNIC;;;;;"12""";1
VAL080;1.2588;"03351-CT-6""-C2-0047-N";C2;VÁLVULA DE CUCHILLO BIDIRECCIONAL NO PASANTE, CUERPO ACERO CARBONO A216 WCB, EMPAQUETADURA FIBRA SINTÉTICA IMPREGNADA PTFE, COMPUERTA ASTM A316, MSS SP-81, ASME B16.5 CL 150, WAFER, ACCIONAMIENTO MANUAL ENGRANAJE CÓNIC;;;;;"12""";1
VAL081;1.2589;"03351-PW-6""-C1-0013-N";C1;VÁLVULA DE CUCHILLO BIDIRECCIONAL NO PASANTE, CUERPO ACERO CARBONO A216 WCB, EMPAQUETADURA FIBRA SINTÉTICA IMPREGNADA PTFE, COMPUERTA ASTM A316, MSS SP-81, ASME B16.5 CL 150, WAFER, ACCIONAMIENTO MANUAL ENGRANAJE CÓNIC;;;;;"6""";1
